Curriculum,"Human Development and Family Studies, Leadership and Entrepreneurial Professions Concentration",,,,,,,,,
Degree Plan,"Human Development and Family Studies, Leadership and Entrepreneurial Professions Concentration",,,,,,,,,
Institution,"",,,,,,,,,
Degree Type,"BS",,,,,,,,,
System Type,"semester",,,,,,,,,
CIP,"26.0101",,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,"CO 150","","",,,,3,"","",1
2,"HDFS 101","","",,,,3,"","",1
3,"HDFS 277","","",,"1",,1,"","",1
4,"AUCC 3B","","",,,,3,"","",1
5,"AUCC 3D","","",,,,3,"","",1
6,"MATHEMATICS","","",,,,3,"","",1
7,"PSY 100","","",,,,3,"","",2
8,"SOC 100","","",,,,3,"","",2
9,"BZ 101","","",,,,3,"","",2
10,"AUCC 3B","","",,,,3,"","",2
11,"AUCC 3E","","",,,,3,"","",2
12,"HDFS 310","","","2",,,3,"","",3
13,"HDFS 334","","","2",,,3,"","",3
14,"AUCC 3A","","",,,,4,"","",3
15,"ELECTIVE 1","","",,,,3,"","",3
16,"ELECTIVE 2","","",,,,3,"","",3
17,"HDFS 311","","","2",,,3,"","",4
18,"CO 300","","","1",,,3,"","",4
19,"STAT 201","","",,,,3,"","",4
20,"ELECTIVE 3","","",,,,3,"","",4
21,"ELECTIVE 4","","",,,,3,"","",4
22,"HDFS 312","","","2",,,3,"","",5
23,"HDFS 350","","","2;19",,,3,"","",5
24,"HDFS 375","","","2",,,3,"","",5
25,"LEADERSHIP AND ENTREPENEURIAL PROFESSIONS CONCENTRATION COURSE 1","","",,,,3,"","",5
26,"ELECTIVE 5","","",,,,2,"","",5
27,"HDFS 402","","","13",,,3,"","",6
28,"HDFS 434","","","17;12",,,3,"","",6
29,"LEADERSHIP AND ENTREPENEURIAL PROFESSIONS CONCENTRATION COURSE 2","","",,,,3,"","",6
30,"LEADERSHIP AND ENTREPENEURIAL PROFESSIONS CONCENTRATION COURSE 3","","",,,,3,"","",6
31,"ELECTIVE 6","","",,,,3,"","",6
32,"HDFS 475","","","24",,,3,"","",7
33,"HDFS 477","","","3",,,1,"","",7
34,"HDFS 488E","","",,"33",,5,"","",7
35,"HUMAN DEVELOPMENT AND FAMILY STUDIES CONCENTRATION COURSE 4","","",,,,3,"","",7
36,"ELECTIVE 7","","",,,,2,"","",7
37,"HDFS 492","","","23;33",,,6,"","",8
38,"LEADERSHIP AND ENTREPENEURIAL PROFESSIONS CONCENTRATION COURSE 4","","",,,,3,"","",8
39,"ELECTIVE 8","","",,,,3,"","",8
40,"ELECTIVE 9","","",,,,3,"","",8
