Curriculum,"Languages, Literatures, and Cultures, German Concentration",,,,,,,,,
Degree Plan,"Languages, Literatures, and Cultures, German Concentration",,,,,,,,,
Institution,"",,,,,,,,,
Degree Type,"BS",,,,,,,,,
System Type,"semester",,,,,,,,,
CIP,"26.0101",,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,"CO 150","","",,,,3,"","",1
2,"HIST 101","","",,,,3,"","",1
3,"LGER 100","","",,,,5,"","",1
4,"ELECTIVE 1","","",,,,3,"","",1
5,"LGER 101","","","3",,,5,"","",2
6,"AUCC 3B","","",,,,3,"","",2
7,"AUCC 3C","","",,,,3,"","",2
8,"ELECTIVE 2","","",,,,5,"","",2
9,"LGER 200","","","5",,,3,"","",3
10,"AUCC 3B","","",,,,3,"","",3
11,"AUCC 3A","","",,,,3,"","",3
12,"AUCC 3E","","",,,,3,"","",3
13,"ELECTIVE 3","","",,,,3,"","",3
14,"LGER 201","","","9",,,3,"","",4
15,"ADVANCED WRITING","","","1",,,3,"","",4
16,"AUCC 3A","","",,,,4,"","",4
17,"MATHEMATICS","","",,,,3,"","",4
18,"LGER 300","","","14",,,3,"","",5
19,"UD LGER ELECTIVE 1","","","14",,,3,"","",5
20,"ELECTIVE 4","","",,,,3,"","",5
21,"ELECTIVE 5","","",,,,3,"","",5
22,"ELECTIVE 6","","",,,,3,"","",5
23,"LGER 310","","","18",,,3,"","",6
24,"LGER 335","","","18",,,3,"","",6
25,"UD LGER ELECTIVE 2","","","18",,,3,"","",6
26,"UD LGER ELECTIVE 3","","","18",,,3,"","",6
27,"ELECTIVE 7","","",,,,3,"","",6
28,"LGER 400","","","18",,,3,"","",7
29,"LGER 434","","","24",,,3,"","",7
30,"LGER 450","","","23;18",,,3,"","",7
31,"ELECTIVE 8","","",,,,4,"","",7
32,"ELECTIVE 9","","",,,,3,"","",7
33,"LGER 492","","","23;26;25",,,3,"","",8
34,"LGER 4**","","","23;18",,,3,"","",8
35,"ELECTIVE 10","","",,,,3,"","",8
36,"ELECTIVE 11","","",,,,3,"","",8
37,"ELECTIVE 12","","",,,,4,"","",8
