Curriculum,Computer Engineering,,,,,,,,,
Degree Plan,2019-20 Degree Plan,,,,,,,,,
Institution,University of Arizona,,,,,,,,,
Degree Type,BS,,,,,,,,,
System Type,semester,,,,,,,,,
CIP,14.0901,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,Calculus I w/ Applications,MATH,125,,,,3,,,1
2,Gen Chemistry I,CHEM,151,,,,4,,,1
3,First-year Comp.,ENGL,101,,,,3,,,1
4,Intro to Engineering,ENGR,102,,1,,3,,,1
5,Tier I General Ed.,,,,,,3,,,1
6,Calculus II,MATH,129,1,,,3,,,2
7,Programming for Eng. Apps.,ECE,175,,1,,3,,,2
8,Intro Mechanics,PHYS,141,1,,,4,,,2
9,First-year Comp.,ENGL,102,3,,,3,,,2
10,Tier I General Ed.,,,,,,3,,,2
11,Digital Logic,ECE,274A,7,6,,4,,,3
12,Programming for Eng. Apps. II,ECE,275,7,,,3,,,3
13,Vector Calculus,MATH ,223,6,,,4,,,3
14,Electricity & Magnetism,PHYS,241,6;8,,,4,,,3
15,Tier I General Ed.,,,,,,3,,,3
16,Basic Circuits,ECE,220,6;14,,,5,,,4
17,Intro Optics and Thermo ,PHYS,143,6;8,,,2,,,4
18,Discrete Math,MATH,243,1,,,3,,,4
19,Intro to ODEs,MATH,254,6,,,3,,,4
20,Tier II General Ed.,,,,,,3,,,4
21,Eng Math,ECE,310,19;7,,,4,,,5
22,Fundamentals of Computer Org,ECE,369A,7;11,,,4,,,5
23,Circuit Theory,ECE,320A,19;16,,,3,,,5
25,OO Software Design,ECE,373,12,,,3,,,5
26,Eng Ethics,ECE,311,,,,1,,,5
27,Technical Elective,,,,,,3,,,6
24,Intro to Comm,ECE,340A,23,,,3,,,6
28,Electronic Circuits,ECE,351C,23,,,4,,,6
29,uProcessor Org,ECE,372A,16;11,12,,4,,,6
30,Tier I General Ed.,,,,,,3,,,6
31,Cross-disciplinary Design,ENGR,498A,23,28,,3,,,7
32,Required Computer Course,,,,,,3,,,7
33,Technical Elective,,,,,,3,,,7
34,Technical Elective,,,,,,3,,,7
35,Technical Elective,,,,,,3,,,7
36,Cross-disciplinary Design,ENGR,498B,31;28,,,3,,,8
37,Technical Elective,,,,,,3,,,8
38,Technical Elective,,,,,,3,,,8
39,Technical Elective,,,,,,3,,,8
40,Tier II General Ed.,,,,,,3,,,8
