SendInstitution,SendCourse1CourseCode,SendCourse1CourseTitle,SendCourse1Units,SendCourse2CourseCode,SendCourse2CourseTitle,SendCourse2Units,SendCourse3CourseCode,SendCourse3CourseTitle,SendCourse3Units,SendCourse4CourseCode,SendCourse4CourseTitle,SendCourse4Units,SendCourse5CourseCode,SendCourse5CourseTitle,SendCourse5Units,SendCourse6CourseCode,SendCourse6CourseTitle,SendCourse6Units,SendCourse7CourseCode,SendCourse7CourseTitle,SendCourse7Units,SendCourse8CourseCode,SendCourse8CourseTitle,SendCourse8Units,SendCourse9CourseCode,SendCourse9CourseTitle,SendCourse9Units,SendCourse10CourseCode,SendCourse10CourseTitle,SendCourse10Units,ReceiveInstitution,ReceiveEditionLowYear,ReceiveEditionHighYear,ReceiveCourse1CourseCode,ReceiveCourse1CourseTitle,ReceiveCourse1Units,ReceiveCourse2CourseCode,ReceiveCourse2CourseTitle,ReceiveCourse2Units,ReceiveCourse3CourseCode,ReceiveCourse3CourseTitle,ReceiveCourse3Units,ReceiveCourse4CourseCode,ReceiveCourse4CourseTitle,ReceiveCourse4Units,ReceiveCourse5CourseCode,ReceiveCourse5CourseTitle,ReceiveCourse5Units,ReceiveCourse6CourseCode,ReceiveCourse6CourseTitle,ReceiveCourse6Units,ReceiveCourse7CourseCode,ReceiveCourse7CourseTitle,ReceiveCourse7Units,ReceiveCourse8CourseCode,ReceiveCourse8CourseTitle,ReceiveCourse8Units,ReceiveCourse9CourseCode,ReceiveCourse9CourseTitle,ReceiveCourse9Units,ReceiveCourse10CourseCode,ReceiveCourse10CourseTitle,ReceiveCourse10Units
PIMA COMMUNITY COLLEGE,ACC 105,Survey of Accounting,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNIVERSITY OF ARIZONA,,,ACCT 250,Survey of Accounting,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIMA COMMUNITY COLLEGE,ACC 211,Financial Accounting,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNIVERSITY OF ARIZONA,,,ACCT 200,Introduction to Financial Accounting,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIMA COMMUNITY COLLEGE,ACC 212,Managerial Accounting,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNIVERSITY OF ARIZONA,,,ACCT 210,Introduction to Managerial Accounting,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIMA COMMUNITY COLLEGE,AFA 120,The African American Experience,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNIVERSITY OF ARIZONA,,,AFAS 220,Introduction to African American Studies,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIMA COMMUNITY COLLEGE,AFA 130,The African Diaspora,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNIVERSITY OF ARIZONA,,,AFAS 200,Introduction to Africana Studies,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIMA COMMUNITY COLLEGE,AIS 101,Introduction to American Indian Studies,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNIVERSITY OF ARIZONA,,,AIS 100,No Direct Equivalency,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIMA COMMUNITY COLLEGE,AIS 148,�History of Indians of North America,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNIVERSITY OF ARIZONA,,,AIS 160A1,Many Nations of Native America,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIMA COMMUNITY COLLEGE,AJS 101,Introduction to Administration of Justice Systems,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNIVERSITY OF ARIZONA,,,PA 241,Criminal Justice Administration,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIMA COMMUNITY COLLEGE,ANT 101,Human Origins and Prehistory,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNIVERSITY OF ARIZONA,,,ANTH 160D2,Origins of Human Diversity,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIMA COMMUNITY COLLEGE,ANT 102,Introduction to Cultural Anthropology and Linguistics,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNIVERSITY OF ARIZONA,,,ANTH 150B1,Many Ways of Being Human: Anthropological Perspective,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
