Curriculum,BSCP-Computer Engineering,,,,,,,
Degree Plan,Computer Engineering,,,,,,,
Institution,USF,,,,,,,
Degree Type,BS,,,,,,,
System Type,semester,,,,,,,
CIP,14.0901,,,,,,,
Courses,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Term
24950,Engineering Calculus I,MAC,2281,,,,4,1
25478,General Chemistry I (for Engineers),CHM or CHS,2045 or 2440,,,,3,1
23525,Composition I,ENC,1101,,,,3,1
25479,General Chemistry I Laboratory (for Engineers),CHM or CHS,2045L or 2440L,,,25478,1,1
23287,Foundations of Engineering Lab,EGN,3000L,,,,3,1
28172,Foundations of Engineering,EGN,3000,,,,0,1
24951,Engineering Calculus II,MAC,2282,24950,,,4,2
23526,Composition II,ENC,1102,23525,,,3,2
26014,General Physics I - Calculus Based,PHY,2048,24950,,,3,2
23738,Programming Concepts,COP,2510,24950,,,3,2
26015,General Physics I Laboratory,PHY,2048L,24950,,26014,1,2
24952,Engineering Calculus III,MAC,2283,24951,,,4,3
26016,General Physics II - Calculus Based,PHY,2049,24951;26014;26015,,,3,3
26655,Program Design,COP,3514,23738,,,3,3
26017,General Physics II Laboratory,PHY,2049L,24951;26014;26015,,26016,1,3
4,State Social Science Gen Ed,SGES,,,,,3,3
24493,Computer Organization,CDA,3103,23738;26016,,,3,4
5,State Humanities Gen Ed,SGEH,,,,,3,4
23739,Introduction to Discrete Structures,COT,3100,24950,,,3,4
25929,Modeling and Analysis of Engineering Systems or Diff Eq,EGN or MAP,3433 or 2302,24952;26016,,,3,4
24641,Object Oriented Software Design,COP,3331,26655,24493,,3,4
27726,Computer Logic and Design,CDA,3201,24493;26655,,23435,3,5
28111,Data Structures,COP,4530,23739;24641;24493,,,3,5
26647,Introduction to Linear Systems,EGN,4450,24951,,,2,5
23435,Computer Logic and Design Lab,CDA,3201L,,,,1,5
23996,Analysis Of Algorithms,COT,4400,23739;28111,,,3,6
24494,Computer Architecture,CDA,4205,27726;23435,,,3,6
27967,Electronic Materials,EEE,3394,25478;26014,24952,,3,6
25981,Introduction to Electrical Systems I,EGN,3373,,25929,,3,6
6,CSE Hardware Elective,,,27726,,,3,6
26840,Computer System Design,CDA,4203,27726;23435,,,3,7
24859,Engineering Economics with Social and Global Implications,EGN,3615,,,,3,7
23860,Operating Systems,COP,4600,28111,,,3,7
8,CSE Hardware Elective,,,27726,,,3,7
26843,Computer System Design Lab,CDA,4203L,,,26840,1,7
9,Natural Sci Elective,,,,,,3,7
23590,CMOS-VLSI Design,CDA,4213,27726;23435,,,3,8
27719,Communication for Engineers,ENC,3246,,,,3,8
25983,Probability and Statistics for Engineers,EGN,3443,24951,,,3,8
12,CSE Elective,,,28111,,,3,8
28057,CMOS-VLSI Design Lab,CDA,4213L,27726;23435,,23590,1,8
26844,Ethical Issues And Professional Conduct,CIS,4250,,,,3,9
15,CSE Elective,,,28111,,,3,9
24532,Computer Science and Engineering Project,CIS,4910,28111,,,3,9
16,LAB,,,,,,1,9
